id;period;day;month;year;weekday
155;A NOITE;8;7;2016;friday
156;A NOITE;8;8;2014;friday
157;A NOITE;8;9;2017;friday
158;A NOITE;8;10;1965;friday
159;A NOITE;8;10;2010;friday
160;A NOITE;8;11;2013;friday
161;A NOITE;8;12;2017;friday
162;A NOITE;9;1;2015;friday
163;A NOITE;9;2;1917;friday
164;A NOITE;9;2;1968;friday
165;A NOITE;9;2;2018;friday
166;A NOITE;9;3;1979;friday
167;A NOITE;9;3;2001;friday
168;A NOITE;9;3;2007;friday
169;A NOITE;9;3;2012;friday
170;A NOITE;9;3;2018;friday
171;A NOITE;9;4;1019;friday
172;A NOITE;9;5;1986;friday
173;A NOITE;9;5;2014;friday
174;A NOITE;9;6;1989;friday
175;A NOITE;9;6;1995;friday
176;A NOITE;9;6;2017;friday
177;A NOITE;9;7;2010;friday
178;A NOITE;9;8;2013;friday
179;A NOITE;9;9;2011;friday
180;A NOITE;9;9;2016;friday
181;A NOITE;9;10;1987;friday
182;A NOITE;9;10;2015;friday
183;A NOITE;9;11;2012;friday
184;A NOITE;9;11;2018;friday
185;A NOITE;9;12;2011;friday
186;A NOITE;9;12;2016;friday
187;A NOITE;10;1;2014;friday
188;A NOITE;10;2;2012;friday
189;A NOITE;10;2;2017;friday
190;A NOITE;10;3;2017;friday
191;A NOITE;10;4;1992;friday
192;A NOITE;10;4;2015;friday
193;A NOITE;10;5;2013;friday
194;A NOITE;10;5;2019;friday
195;A NOITE;10;6;1983;friday
196;A NOITE;10;6;2011;friday
197;A NOITE;10;6;2016;friday
198;A NOITE;10;7;2015;friday
199;A NOITE;10;8;2012;friday
200;A NOITE;10;8;2018;friday
201;A NOITE;10;9;1993;friday
202;A NOITE;10;9;1999;friday
203;A NOITE;10;9;2010;friday
204;A NOITE;10;10;2014;friday
205;A NOITE;10;11;2017;friday
206;A NOITE;10;12;2010;friday
207;A NOITE;11;1;1980;friday
208;A NOITE;11;1;2013;friday
209;A NOITE;11;1;2019;friday
210;A NOITE;11;2;2011;friday
211;A NOITE;11;3;2011;friday
212;A NOITE;11;3;2016;friday
213;A NOITE;11;4;2014;friday
214;A NOITE;11;5;1990;friday
215;A NOITE;11;5;2012;friday
216;A NOITE;11;5;2018;friday
217;A NOITE;11;6;1999;friday
218;A NOITE;11;6;2010;friday
219;A NOITE;11;7;2014;friday
220;A NOITE;11;8;2017;friday
221;A NOITE;11;9;2015;friday
222;A NOITE;11;10;2002;friday
223;A NOITE;11;10;2013;friday
224;A NOITE;11;11;2011;friday
225;A NOITE;11;11;2016;friday
226;A NOITE;11;12;2015;friday
227;A NOITE;12;1;2018;friday
228;A NOITE;12;2;2010;friday
229;A NOITE;12;2;2016;friday
230;A NOITE;12;3;2010;friday
231;A NOITE;12;4;2013;friday
232;A NOITE;12;4;2019;friday
233;A NOITE;12;5;2017;friday
234;A NOITE;12;6;1981;friday
235;A NOITE;12;6;2015;friday
236;A NOITE;12;7;2013;friday
237;A NOITE;12;7;2019;friday
238;A NOITE;12;8;1983;friday
239;A NOITE;12;8;1988;friday
240;A NOITE;12;8;2011;friday
241;A NOITE;12;8;2016;friday
242;A NOITE;12;9;1980;friday
243;A NOITE;12;9;1997;friday
244;A NOITE;12;9;2014;friday
245;A NOITE;12;10;2012;friday
246;A NOITE;12;10;2018;friday
247;A NOITE;12;11;1993;friday
248;A NOITE;12;11;2010;friday
249;A NOITE;12;12;2014;friday
250;A NOITE;13;1;1995;friday
251;A NOITE;13;1;2012;friday
252;A NOITE;13;1;2017;friday
253;A NOITE;13;2;2009;friday
254;A NOITE;13;2;2015;friday
255;A NOITE;13;3;2015;friday
256;A NOITE;13;4;2012;friday
257;A NOITE;13;4;2018;friday
258;A NOITE;13;5;1994;friday
259;A NOITE;13;5;2011;friday
260;A NOITE;13;5;2016;friday
261;A NOITE;13;6;2014;friday
262;A NOITE;13;7;2001;friday
263;A NOITE;13;7;2012;friday
264;A NOITE;13;7;2018;friday
265;A NOITE;13;8;1976;friday
266;A NOITE;13;8;2010;friday
267;A NOITE;13;9;1996;friday
268;A NOITE;13;9;2013;friday
269;A NOITE;13;10;2006;friday
270;A NOITE;13;10;2017;friday
271;A NOITE;13;11;2015;friday
272;A NOITE;13;12;2013;friday
273;A NOITE;14;1;1994;friday
274;A NOITE;14;1;2011;friday
275;A NOITE;14;2;2014;friday
276;A NOITE;14;3;2014;friday
277;A NOITE;14;4;2017;friday
278;A NOITE;14;5;2010;friday
279;A NOITE;14;6;2002;friday
280;A NOITE;14;6;2013;friday
281;A NOITE;14;6;2019;friday
282;A NOITE;14;7;2006;friday
283;A NOITE;14;7;2017;friday
284;A NOITE;14;8;2009;friday
285;A NOITE;14;8;2015;friday
286;A NOITE;14;9;2001;friday
287;A NOITE;14;9;2007;friday
288;A NOITE;14;9;2012;friday
289;A NOITE;14;9;2018;friday
290;A NOITE;14;10;2011;friday
291;A NOITE;14;10;2016;friday
292;A NOITE;14;11;2014;friday
293;A NOITE;14;12;2012;friday
294;A NOITE;14;12;2018;friday
295;A NOITE;15;1;2010;friday
296;A NOITE;15;1;2016;friday
297;A NOITE;15;2;2013;friday
298;A NOITE;15;2;2019;friday
299;A NOITE;15;3;1991;friday
300;A NOITE;15;3;2013;friday
301;A NOITE;15;3;2019;friday
302;A NOITE;15;4;2011;friday
303;A NOITE;15;4;2016;friday
304;A NOITE;15;5;2009;friday
305;A NOITE;15;5;2015;friday
306;A NOITE;15;6;1984;friday
307;A NOITE;15;6;2012;friday
308;A NOITE;15;6;2018;friday
309;A NOITE;15;7;2011;friday
